lang,version,uid,master,title,loc,loc2,uid3,master4,Category,loc6,loc7,uid8,master9,Subcategory,loc11,loc12,uid13,master14,Skill,loc16,description,loc17,code,uid18,master19,level,loc21,description22,loc23
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,e985761d18154f34b40e80a3363cc769,e985761d18154f34b40e80a3363cc769,IT governance,yes,"The establishment and oversight of an organisation's approach to the use of information, digital services and associated technology. Includes responsibility for provision of digital services; levels of service and service quality which meet current and future business requirements; policies and practices for conformance with mandatory legislation and regulations; strategic plans for technology to enable the organisation's business strategy; transparent decision making, leading to justification for investment, with appropriate balance between stakeholder benefits, opportunities, costs, and risks.",yes,GOVN,529dccea76604abfa5ba07f470f6edf7,529dccea76604abfa5ba07f470f6edf7,7,yes,"Leads development and communication of the organisation's policies for corporate governance of information. Contributes to strategic plans, which satisfy the current and ongoing needs of the organisation's business strategy, and the current and future capabilities. Promotes clear decision making, leading to valid reasons for technology-related acquisitions. Monitors provision of services, levels of service and service quality. Assures that the organisation's business processes are compliant with relevant legislation, and that the organisation operates according to the principles embedded in relevant standards. Promotes policies, practices and decisions which recognise the current and evolving needs of all the stakeholders.",yes
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,e985761d18154f34b40e80a3363cc769,e985761d18154f34b40e80a3363cc769,IT governance,yes,"The establishment and oversight of an organisation's approach to the use of information, digital services and associated technology. Includes responsibility for provision of digital services; levels of service and service quality which meet current and future business requirements; policies and practices for conformance with mandatory legislation and regulations; strategic plans for technology to enable the organisation's business strategy; transparent decision making, leading to justification for investment, with appropriate balance between stakeholder benefits, opportunities, costs, and risks.",yes,GOVN,9b6043a9232245ba835419372399faec,9b6043a9232245ba835419372399faec,6,yes,"Puts in place, or confirms, staffing structures to support the work of the governing authority (board, trustees, etc) and proper relationships between the organisation and external parties. Takes responsibility for review of management processes (and decisions) and confirms that they are compliant with the organisation's strategy for corporate governance of information. Is familiar with relevant standards and the principles embedded within them. Reviews new business proposals and provides specialist advice on compliance issues. Acts as the organisation's contact for relevant regulatory authorities. Establishes policy and standards for compliance with relevant legislation.",yes
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,e985761d18154f34b40e80a3363cc769,e985761d18154f34b40e80a3363cc769,IT governance,yes,"The establishment and oversight of an organisation's approach to the use of information, digital services and associated technology. Includes responsibility for provision of digital services; levels of service and service quality which meet current and future business requirements; policies and practices for conformance with mandatory legislation and regulations; strategic plans for technology to enable the organisation's business strategy; transparent decision making, leading to justification for investment, with appropriate balance between stakeholder benefits, opportunities, costs, and risks.",yes,GOVN,f0614d19bfe5471fadc4117f4cb6f45e,f0614d19bfe5471fadc4117f4cb6f45e,5,yes,Reviews information systems for compliance with legislation and specifies any required changes. Responsible for ensuring compliance with organisational policies and procedures and overall information management strategy.,yes
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,91c393e4a51b439da0f065e8d7ce26ba,91c393e4a51b439da0f065e8d7ce26ba,IT strategy and planning,yes,"The creation, iteration and maintenance of a strategy in order to align IT plans with business objectives and the development of plans to drive forward and execute that strategy. Working with stakeholders to communicate and embed strategic management via objectives, accountabilities and monitoring of progress.",yes,ITSP,c6afc56d087e41879ef6603297c0495f,c6afc56d087e41879ef6603297c0495f,5,yes,"Ensures that all stakeholders adhere to IT strategic management approach and timetables. Collates information and creates reports and insights to support IT strategic management processes. Develops and communicates plans to drive forward the strategy. Contributes to the development of policies, standards and guidelines for IT strategy development and planning.",yes
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,91c393e4a51b439da0f065e8d7ce26ba,91c393e4a51b439da0f065e8d7ce26ba,IT strategy and planning,yes,"The creation, iteration and maintenance of a strategy in order to align IT plans with business objectives and the development of plans to drive forward and execute that strategy. Working with stakeholders to communicate and embed strategic management via objectives, accountabilities and monitoring of progress.",yes,ITSP,1f8d1fcc29ee4655b6ca1ccb2b4efd3b,1f8d1fcc29ee4655b6ca1ccb2b4efd3b,6,yes,"Sets policies and standards and guidelines for how the organisation conducts IT strategy development and planning. Leads and manages the creation or review of an IT strategy which meets the requirements of the business. Develops, communicates, implements and reviews the  processes which ensure that the strategic management of IT is embedded in the management and operational plans of the organisation.",yes
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,91c393e4a51b439da0f065e8d7ce26ba,91c393e4a51b439da0f065e8d7ce26ba,IT strategy and planning,yes,"The creation, iteration and maintenance of a strategy in order to align IT plans with business objectives and the development of plans to drive forward and execute that strategy. Working with stakeholders to communicate and embed strategic management via objectives, accountabilities and monitoring of progress.",yes,ITSP,c2264aa23ba34a5c8f592c119c8d42b1,c2264aa23ba34a5c8f592c119c8d42b1,7,yes,"Leads the definition, implementation, communication of the organisation?s strategic management framework and directs the creation and review of an IT strategy and plans to support the strategic requirements of the business.",yes
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,f95f219c7fa4447d8a0fb798e247804d,f95f219c7fa4447d8a0fb798e247804d,Information management,yes,"The overall governance of how all types of information, structured and unstructured, whether produced internally or externally, are used to support decision-making, business processes and digital services. Encompasses development and promotion of the strategy and policies covering the design of information structures and taxonomies, the setting of policies for the sourcing and maintenance of the data content, and the development of policies, procedures, working practices and training to promote compliance with legislation regulating all aspects of holding, use and disclosure of data.",yes,IRMG,d21163fd17d84cefad71d077d9fd176b,d21163fd17d84cefad71d077d9fd176b,7,yes,"Specifies at a strategic level the business functions and data subjects needed to support future business and digital services, thereby enabling the development of an Information Architecture. Establishes and communicates the organisation's digital strategy, developing it as an integrated part of the business strategy. Directs digital resources, to create value for the stakeholders by improving the performance of the organisation, whilst maintaining the principles of professional standards, accountability, openness, equality and diversity and clarity of purpose. Responsible for compliance with regulations, standards and codes of good practice relating to information and records management, information assurance and data protection.",yes
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,f95f219c7fa4447d8a0fb798e247804d,f95f219c7fa4447d8a0fb798e247804d,Information management,yes,"The overall governance of how all types of information, structured and unstructured, whether produced internally or externally, are used to support decision-making, business processes and digital services. Encompasses development and promotion of the strategy and policies covering the design of information structures and taxonomies, the setting of policies for the sourcing and maintenance of the data content, and the development of policies, procedures, working practices and training to promote compliance with legislation regulating all aspects of holding, use and disclosure of data.",yes,IRMG,f3ba03376af44a03905b53cfef058f68,f3ba03376af44a03905b53cfef058f68,6,yes,"Maintains and communicates the organisation's strategy for managing information, ensuring that uniformly recognised and accepted data definitions are developed and applied throughout the organisation. Ensures that the business processes and information required to support the organisation are defined and devises appropriate standards, processes and data architectures. Identifies the impact of any relevant statutory, internal or external regulations on the organisation's use of information and develops strategies for compliance. Coordinates information resources to support digital services and analytics, whilst maintaining the principles of professional standards, accountability, openness, equality and diversity and clarity of purpose. Implements systems and controls to measure performance, and manage risk.",yes
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,f95f219c7fa4447d8a0fb798e247804d,f95f219c7fa4447d8a0fb798e247804d,Information management,yes,"The overall governance of how all types of information, structured and unstructured, whether produced internally or externally, are used to support decision-making, business processes and digital services. Encompasses development and promotion of the strategy and policies covering the design of information structures and taxonomies, the setting of policies for the sourcing and maintenance of the data content, and the development of policies, procedures, working practices and training to promote compliance with legislation regulating all aspects of holding, use and disclosure of data.",yes,IRMG,9c38f324d51d4d8c872c942249afcf1a,9c38f324d51d4d8c872c942249afcf1a,5,yes,"Drafts and maintains the policy, standards and procedures for compliance with relevant legislation. Understands the implications of information, both internal and external, that can be mined from business systems and elsewhere. Makes business decisions based on that information, including the need to make changes to systems. Reviews proposals for new digital initiatives and provides specialist advice on information management, including advice on and promotion of collaborative working and assessment and management of information-related risk. Creates and maintains an inventory of information assets, which are subject to relevant legislation. Prepares, reviews and submits periodic notification of registration details to the relevant regulatory authorities. Ensures that formal information access requests and complaints are dealt with according to approved procedures.",yes
en,6,07b893404de94e92b2d1c97adb3badf0,07b893404de94e92b2d1c97adb3badf0,Skills,yes,yes,3a13b0b9e12b4544acb033f03220ae4d,3a13b0b9e12b4544acb033f03220ae4d,Strategy and architecture,yes,yes,1224847d3e79478fba8f2da042b28423,1224847d3e79478fba8f2da042b28423,Information strategy,yes,yes,f95f219c7fa4447d8a0fb798e247804d,f95f219c7fa4447d8a0fb798e247804d,Information management,yes,"The overall governance of how all types of information, structured and unstructured, whether produced internally or externally, are used to support decision-making, business processes and digital services. Encompasses development and promotion of the strategy and policies covering the design of information structures and taxonomies, the setting of policies for the sourcing and maintenance of the data content, and the development of policies, procedures, working practices and training to promote compliance with legislation regulating all aspects of holding, use and disclosure of data.",yes,IRMG,78a105a5b6584761b0399b4e7e180443,78a105a5b6584761b0399b4e7e180443,4,yes,"Understands and complies with relevant organisational policies and procedures, taking responsibility for assessing and managing risks around the use of information. Ensures that information is presented effectively. Ensures that effective controls are in place for internal delegation, audit and control and that the board receives timely reports and advice that will inform their decisions.",yes
